Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
31-Dec-2024,Tuesday,December,Q4,2024,EQ,232.65,239.9,232.35,232.65,239,239.25,237.5,345,203.65,12004845.00,95972.00
30-Dec-2024,Monday,December,Q4,2024,EQ,236.05,237,231.15,236.9,234.4,232.65,233.36,345,203.65,19401112.00,116034.00
27-Dec-2024,Friday,December,Q4,2024,EQ,240,241,236.3,240.25,237.1,236.9,238.21,345,203.65,6487888.00,80443.00
26-Dec-2024,Thursday,December,Q4,2024,EQ,240,242,239,238.95,240.4,240.25,240.14,345,203.65,6330006.00,64424.00
24-Dec-2024,Tuesday,December,Q4,2024,EQ,241,243.25,238.6,240.85,239.25,238.95,240.73,345,203.65,3577400.00,48437.00
23-Dec-2024,Monday,December,Q4,2024,EQ,238.25,242.3,236.85,237.1,241.15,240.85,239.89,345,203.65,7722901.00,70004.00
20-Dec-2024,Friday,December,Q4,2024,EQ,241.5,244.15,235.3,241.85,237.5,237.1,239.41,345,197.35,15556528.00,103000.00
19-Dec-2024,Thursday,December,Q4,2024,EQ,240,243.95,238.55,244.15,242.2,241.85,241.62,345,197.35,9518542.00,93976.00
18-Dec-2024,Wednesday,December,Q4,2024,EQ,247.4,247.5,243.4,247.4,243.9,244.15,244.94,345,197.35,8430930.00,105462.00
17-Dec-2024,Tuesday,December,Q4,2024,EQ,251.75,252.45,246.5,251.8,247,247.4,249.08,345,197.35,10066884.00,123919.00
16-Dec-2024,Monday,December,Q4,2024,EQ,254,256.3,251.2,254.25,251.5,251.8,252.24,345,197.35,7283872.00,85102.00
13-Dec-2024,Friday,December,Q4,2024,EQ,253,256.8,249.5,254.05,255,254.25,253.4,345,192.05,11143128.00,87238.00
12-Dec-2024,Thursday,December,Q4,2024,EQ,258,258.6,253.6,256.6,254,254.05,255.4,345,192.05,7123877.00,91979.00
11-Dec-2024,Wednesday,December,Q4,2024,EQ,257.5,258.7,255.65,256.9,257.05,256.6,256.88,345,192.05,5353032.00,72900.00
10-Dec-2024,Tuesday,December,Q4,2024,EQ,257.65,258.75,254.5,258.9,256.7,256.9,256.4,345,192.05,11318782.00,102996.00
09-Dec-2024,Monday,December,Q4,2024,EQ,260.05,261.35,257.7,260.05,258.75,258.9,258.8,345,192.05,6800856.00,78598.00
06-Dec-2024,Friday,December,Q4,2024,EQ,260.8,263,259.55,261.3,260.15,260.05,261.03,345,192.05,8783386.00,83811.00
05-Dec-2024,Thursday,December,Q4,2024,EQ,260.7,263.25,256.9,260.7,261.25,261.3,260.62,345,192.05,12896743.00,124991.00
04-Dec-2024,Wednesday,December,Q4,2024,EQ,263.85,264.3,260,262.35,260.7,260.7,261.88,345,192.05,10713838.00,115588.00
03-Dec-2024,Tuesday,December,Q4,2024,EQ,260.4,264.7,258.85,257.55,261.9,262.35,262.17,345,192.05,15345326.00,114259.00
02-Dec-2024,Monday,December,Q4,2024,EQ,255.5,258.3,252.7,256.7,257.65,257.55,256.19,345,192.05,13677959.00,134159.00
29-Nov-2024,Friday,November,Q4,2024,EQ,253.8,258.65,252.25,252.2,256.95,256.7,255.89,345,188.4,11476347.00,95372.00
28-Nov-2024,Thursday,November,Q4,2024,EQ,255,257.4,251.2,254.3,253,252.2,253.69,345,188.4,14202863.00,135952.00
27-Nov-2024,Wednesday,November,Q4,2024,EQ,255,255.5,250.55,254.25,254.8,254.3,253.03,345,188.4,11689970.00,83604.00
26-Nov-2024,Tuesday,November,Q4,2024,EQ,256.95,258.25,252.55,257.9,254.6,254.25,254.7,345,188.4,9242451.00,87036.00
25-Nov-2024,Monday,November,Q4,2024,EQ,248.5,260.5,247.95,245.6,259.05,257.9,257.77,345,188.4,31973671.00,211775.00
22-Nov-2024,Friday,November,Q4,2024,EQ,244.8,246.95,243.5,242.15,245.45,245.6,245.52,345,188.15,9637581.00,92682.00
21-Nov-2024,Thursday,November,Q4,2024,EQ,248,248,240.8,248,242.35,242.15,243.24,345,188.15,16189440.00,172523.00
19-Nov-2024,Tuesday,November,Q4,2024,EQ,250,255.4,247.1,250.65,248.05,248,250.43,345,188.15,17397559.00,144438.00
18-Nov-2024,Monday,November,Q4,2024,EQ,251.1,252.1,247.1,250.8,250.9,250.65,250.05,345,188.15,14636541.00,113480.00
14-Nov-2024,Thursday,November,Q4,2024,EQ,252.55,254.3,249,252.55,251.1,250.8,250.89,345,188.15,12454540.00,133995.00
13-Nov-2024,Wednesday,November,Q4,2024,EQ,256.15,256.95,249,256.15,252,252.55,252.52,345,188.15,17483332.00,152926.00
12-Nov-2024,Tuesday,November,Q4,2024,EQ,260.85,263.2,255.4,256.9,255.9,256.15,258.83,345,188.15,22445400.00,178812.00
11-Nov-2024,Monday,November,Q4,2024,EQ,262.35,262.35,256,262.55,257.25,256.9,258.35,345,188.15,8450657.00,104975.00
08-Nov-2024,Friday,November,Q4,2024,EQ,265.95,266.5,259.65,265.2,261.3,262.55,261.98,345,188.15,7836093.00,80871.00
07-Nov-2024,Thursday,November,Q4,2024,EQ,270.5,270.5,264.8,269.05,265.65,265.2,266.78,345,188.15,6766663.00,89115.00
06-Nov-2024,Wednesday,November,Q4,2024,EQ,267.7,270.6,264.4,267.4,268.55,269.05,268.07,345,188.15,19244545.00,114884.00
05-Nov-2024,Tuesday,November,Q4,2024,EQ,265.2,268.6,263.6,265.3,267.55,267.4,266.61,345,188.15,11676017.00,98738.00
04-Nov-2024,Monday,November,Q4,2024,EQ,274,274.35,260.15,271.75,265.4,265.3,264.12,345,188.15,14355959.00,136746.00
01-Nov-2024,Friday,November,Q4,2024,EQ,269.8,274,268.65,266.15,274,271.75,270.87,345,184.2,2955757.00,49052.00
31-Oct-2024,Thursday,October,Q4,2024,EQ,263.4,268.3,261.15,261.65,267,266.15,265.96,345,184.2,16173656.00,185225.00
30-Oct-2024,Wednesday,October,Q4,2024,EQ,265,266.2,261.05,265,262.6,261.65,263.25,345,184.2,11166643.00,101271.00
29-Oct-2024,Tuesday,October,Q4,2024,EQ,263.35,265.55,259.4,263.35,264.8,265,262.83,345,184.2,9122757.00,91311.00
28-Oct-2024,Monday,October,Q4,2024,EQ,260.65,265.05,255.3,264.05,263.75,263.35,261.34,345,184.2,13835091.00,128458.00
25-Oct-2024,Friday,October,Q4,2024,EQ,270,270.3,261.6,269.1,265.1,264.05,264.46,345,179.9,12961181.00,166866.00
24-Oct-2024,Thursday,October,Q4,2024,EQ,271.9,272.45,268.35,270.85,269.65,269.1,269.87,345,179.9,7488521.00,88277.00
23-Oct-2024,Wednesday,October,Q4,2024,EQ,270,274.4,265.05,270.8,270.4,270.85,269.91,345,179.9,18823321.00,181752.00
22-Oct-2024,Tuesday,October,Q4,2024,EQ,278,278.15,270,276.6,272,270.8,273.42,345,179.9,10028511.00,111627.00
21-Oct-2024,Monday,October,Q4,2024,EQ,281.15,284,274.55,283.3,276.6,276.6,277.21,345,179.9,10299773.00,122152.00
18-Oct-2024,Friday,October,Q4,2024,EQ,282,284.5,279.2,281.6,282.6,283.3,281.83,345,179.9,14028398.00,90475.00
17-Oct-2024,Thursday,October,Q4,2024,EQ,285,287.6,280.95,285.4,282,281.6,283.33,345,179.9,13343303.00,142718.00
16-Oct-2024,Wednesday,October,Q4,2024,EQ,283,287.25,280.65,283.7,285.6,285.4,284.57,345,179.9,18188885.00,109808.00
15-Oct-2024,Tuesday,October,Q4,2024,EQ,286.4,286.4,280.85,286.5,283.55,283.7,282.91,345,179.9,15087155.00,121236.00
14-Oct-2024,Monday,October,Q4,2024,EQ,292.7,292.9,285.15,292.55,286.55,286.5,287.58,345,179.9,12690951.00,140141.00
11-Oct-2024,Friday,October,Q4,2024,EQ,291.3,293.65,289.5,288.75,292.65,292.55,291.81,345,179.9,7011704.00,66081.00
10-Oct-2024,Thursday,October,Q4,2024,EQ,288.7,292.15,287.55,288.5,289.4,288.75,289.64,345,179.9,7237212.00,96878.00
09-Oct-2024,Wednesday,October,Q4,2024,EQ,291.25,291.9,286.85,293.45,288.5,288.5,289.39,345,179.9,13147475.00,118638.00
08-Oct-2024,Tuesday,October,Q4,2024,EQ,288.15,293.9,280.55,289.45,293.5,293.45,291.34,345,179.9,10572360.00,105945.00
07-Oct-2024,Monday,October,Q4,2024,EQ,296,296.3,281.5,295.25,289,289.45,287.96,345,179.9,20917962.00,206146.00
04-Oct-2024,Friday,October,Q4,2024,EQ,297,299.7,293.2,292.05,295.5,295.25,296.25,345,179.9,23104209.00,192423.00
03-Oct-2024,Thursday,October,Q4,2024,EQ,295,298,290.55,291.95,293,292.05,294,345,179.9,28124665.00,229311.00
01-Oct-2024,Tuesday,October,Q4,2024,EQ,297,299.15,290.7,297.6,292.4,291.95,294.22,345,179.9,10919818.00,126027.00
30-Sep-2024,Monday,September,Q3,2024,EQ,297,301.8,293.75,297.2,296.8,297.6,297.92,345,179.9,16294341.00,170120.00
27-Sep-2024,Friday,September,Q3,2024,EQ,292.7,298.45,289.7,295.2,295.7,297.2,294.93,345,179.9,35706130.00,201169.00
26-Sep-2024,Thursday,September,Q3,2024,EQ,297.05,298.7,291.5,298.7,295,295.2,294.39,345,179.9,27812412.00,207121.00
25-Sep-2024,Wednesday,September,Q3,2024,EQ,299.45,301.2,296.7,299.45,298.55,298.7,298.74,345,179.9,10609614.00,122135.00
24-Sep-2024,Tuesday,September,Q3,2024,EQ,296.3,302,294.7,295.45,299.5,299.45,298.61,345,179.9,16986759.00,191727.00
23-Sep-2024,Monday,September,Q3,2024,EQ,288.4,296.4,287.55,286.25,295,295.45,293.72,345,179.9,14621229.00,198092.00
20-Sep-2024,Friday,September,Q3,2024,EQ,287,289.05,285.2,285.25,285.75,286.25,286.6,345,179.9,16585530.00,169883.00
19-Sep-2024,Thursday,September,Q3,2024,EQ,287.4,289.2,282.5,290.4,286.5,285.25,285.61,345,179.9,17067311.00,223136.00
18-Sep-2024,Wednesday,September,Q3,2024,EQ,297.6,297.8,287.9,294.65,289.8,290.4,292,345,179.9,13421760.00,172353.00
17-Sep-2024,Tuesday,September,Q3,2024,EQ,293.7,296.6,292.15,292.5,294.7,294.65,293.96,345,179.9,11873436.00,140174.00
16-Sep-2024,Monday,September,Q3,2024,EQ,294.8,295.4,291.35,291.45,292.75,292.5,292.89,345,179.9,10971110.00,142101.00
13-Sep-2024,Friday,September,Q3,2024,EQ,295.7,297.25,291.05,294.05,291.75,291.45,293.42,345,179.9,13672371.00,125646.00
12-Sep-2024,Thursday,September,Q3,2024,EQ,288,294.75,286.5,285.3,293,294.05,290.99,345,179.9,21964895.00,194106.00
11-Sep-2024,Wednesday,September,Q3,2024,EQ,292.4,292.4,283.25,295.6,286.9,285.3,287.31,345,179.9,44826300.00,464571.00
10-Sep-2024,Tuesday,September,Q3,2024,EQ,300.1,301.5,295,298.9,295.9,295.6,297.25,345,179.9,15618589.00,167848.00
09-Sep-2024,Monday,September,Q3,2024,EQ,308.7,308.7,294.65,308.8,299.8,298.9,297.83,345,179.9,30369085.00,234239.00
06-Sep-2024,Friday,September,Q3,2024,EQ,311.5,313.15,303.7,311.4,308.35,308.8,308.48,345,179.9,27946491.00,213244.00
05-Sep-2024,Thursday,September,Q3,2024,EQ,316.95,316.95,310.15,314.4,311.5,311.4,313.33,345,179.9,15571640.00,116714.00
